secao,produto
"MASSAS","Massa para Bolo de Laranja"
"MASSAS","Massa para Bolo de Limão"
"MASSAS","Massa para Bolo de Baunilha"
"MASSAS","Massa para Bolo de Coco"
"MASSAS","Massa para Bolo de Fubá"
"MASSAS","Massa para Bolo de Milho"
"MASSAS","Massa para Bolo de Chocolate Branco"
"MASSAS","Massa para Bolo Red Velvet"
"MASSAS","Massa para Bolo de Morango"
"MASSAS","Massa para Bolo de Banana"
"MASSAS","Massa para Bolo de Abacaxi"
"MASSAS","Massa para Bolo de Prestígio"
"MASSAS","Massa para Bolo de Formigueiro"
"MASSAS","Massa para Bolo de Iogurte"
"MASSAS","Massa para Bolo de Leite"
"MASSAS","Massa para Bolo de Chocolate com Cobertura"
"MASSAS","Massa para Bolo Simples"
"PÃES E SIMILARES","Pão Francês"
"PÃES E SIMILARES","Pão de Sal"
"PÃES E SIMILARES","Cacetinho"
"PÃES E SIMILARES","Pão de Forma"
"PÃES E SIMILARES","Pão Integral"
"PÃES E SIMILARES","Pão de Centeio"
"PÃES E SIMILARES","Pão Sírio"
"PÃES E SIMILARES","Pão Pita"
"PÃES E SIMILARES","Pão de Queijo"
"PÃES E SIMILARES","Broa de Milho"
"PÃES E SIMILARES","Pão Doce"
"PÃES E SIMILARES","Pão Australiano"
"PÃES E SIMILARES","Pão de Hambúrguer"
"PÃES E SIMILARES","Pão de Hot Dog"
"PÃES E SIMILARES","Torrada"
"PÃES E SIMILARES","Bisnaguinha"
"PÃES E SIMILARES","Rosca Doce"
"PÃES E SIMILARES","Croissant"
"PÃES E SIMILARES","Baguete"
"BANANA","Banana Prata"
"BANANA","Banana Nanica"
"BANANA","Banana Caturra"
"BANANA","Banana Maçã"
"BANANA","Banana da Terra"
"BANANA","Banana Pacovã"
"BANANA","Banana Ouro"
"BANANA","Banana Figo"
"BANANA","Banana Prata Anã"
"BANANA","Banana Terra"
"CÍTRICAS","Laranja Pera"
"CÍTRICAS","Laranja Bahia"
"CÍTRICAS","Laranja Navel"
"CÍTRICAS","Laranja Lima"
"CÍTRICAS","Laranja Seleta"
"CÍTRICAS","Laranja Lima da Pérsia"
"CÍTRICAS","Mexerica"
"CÍTRICAS","Tangerina"
"CÍTRICAS","Ponkan"
"CÍTRICAS","Limão Taiti"
"CÍTRICAS","Limão Siciliano"
"CÍTRICAS","Limão Galego"
"CÍTRICAS","Lima da Pérsia"
"MAÇÃ","Maçã Gala"
"MAÇÃ","Maçã Fuji"
"MAÇÃ","Maçã Argentina"
"MAÇÃ","Maçã Verde"
"MAÇÃ","Maçã Granny Smith"
"MAÇÃ","Maçã Red Delicious"
"MAÇÃ","Maçã Golden"
"MAÇÃ","Maçã Eva"
"OUTRAS FRUTAS","Abacaxi Pérola"
"OUTRAS FRUTAS","Abacaxi Havai"
"OUTRAS FRUTAS","Abacaxi"
"OUTRAS FRUTAS","Morango"
"OUTRAS FRUTAS","Kiwi"
"OUTRAS FRUTAS","Abacate"
"OUTRAS FRUTAS","Goiaba Vermelha"
"OUTRAS FRUTAS","Goiaba Branca"
"OUTRAS FRUTAS","Maracujá Azedo"
"OUTRAS FRUTAS","Maracujá Doce"
"OUTRAS FRUTAS","Caju"
"OUTRAS FRUTAS","Acerola"
"OUTRAS FRUTAS","Pitanga"
"OUTRAS FRUTAS","Jabuticaba"
"OUTRAS FRUTAS","Ameixa Vermelha"
"OUTRAS FRUTAS","Ameixa Preta"
"OUTRAS FRUTAS","Pêssego"
"OUTRAS FRUTAS","Nectarina"
"OUTRAS FRUTAS","Figo"
"OUTRAS FRUTAS","Caqui"
"OUTRAS FRUTAS","Coco Verde"
"OUTRAS FRUTAS","Coco Seco"
"OUTRAS FRUTAS","Açaí"
"OUTRAS FRUTAS","Cupuaçu"
"OUTRAS FRUTAS","Graviola"
"OUTRAS FRUTAS","Carambola"
"OUTRAS FRUTAS","Romã"
"OUTRAS FRUTAS","Manga Tommy"
"OUTRAS FRUTAS","Manga Palmer"
"OUTRAS FRUTAS","Manga Haden"
"OUTRAS FRUTAS","Manga Espada"
"OUTRAS FRUTAS","Manga Rosa"
"OUTRAS FRUTAS","Mamão Formosa"
"OUTRAS FRUTAS","Mamão Papaia"
"OUTRAS FRUTAS","Melancia"
"OUTRAS FRUTAS","Melão Amarelo"
"OUTRAS FRUTAS","Melão Orange"
"OUTRAS FRUTAS","Melão Pele de Sapo"
"OUTRAS FRUTAS","Melão Gália"
"OUTRAS FRUTAS","Uva Itália"
"OUTRAS FRUTAS","Uva Rubi"
"OUTRAS FRUTAS","Uva Thompson"
"OUTRAS FRUTAS","Uva Niágara"
"OUTRAS FRUTAS","Uva Crimson"
"OUTRAS FRUTAS","Pera Williams"
"OUTRAS FRUTAS","Pera Portuguesa"
"OUTRAS FRUTAS","Pera Asiática"
"OUTRAS FRUTAS","Pera"
"OUTRAS FRUTAS","Lichia"
"OUTRAS FRUTAS","Physalis"
"OUTRAS FRUTAS","Mirtilo"
"OUTRAS FRUTAS","Amora"
"OUTRAS FRUTAS","Framboesa"
"OUTRAS FRUTAS","Cereja"
"OUTRAS FRUTAS","Damasco"
"OUTRAS FRUTAS","Nêspera"
"OUTRAS FRUTAS","Jaca"
"OUTRAS FRUTAS","Fruta do Conde"
"OUTRAS FRUTAS","Pinha"
"OUTRAS FRUTAS","Seriguela"
"OUTRAS FRUTAS","Cajuína"
"OUTRAS FRUTAS","Tamarindo"
"OUTRAS FRUTAS","Pitaya"
"OUTRAS FRUTAS","Kiwi Amarelo"
"TOMATE","Tomate Italiano"
"TOMATE","Tomate Saladete"
"TOMATE","Tomate Cereja"
"TOMATE","Tomate Debora"
"TOMATE","Tomate Carmem"
"TOMATE","Tomate Caqui"
"TOMATE","Tomate Sweet Grape"
"TOMATE","Tomate Longa Vida"
"TOMATE","Tomate para Molho"
"TOMATE","Tomate Verde"
"FOLHOSAS","Alface Crespa"
"FOLHOSAS","Alface Americana"
"FOLHOSAS","Alface Lisa"
"FOLHOSAS","Alface Roxa"
"FOLHOSAS","Alface Frisée"
"FOLHOSAS","Rúcula"
"FOLHOSAS","Agrião"
"FOLHOSAS","Espinafre"
"FOLHOSAS","Couve Manteiga"
"FOLHOSAS","Couve"
"FOLHOSAS","Repolho Verde"
"FOLHOSAS","Repolho Roxo"
"FOLHOSAS","Acelga"
"FOLHOSAS","Almeirão"
"FOLHOSAS","Escarola"
"FOLHOSAS","Folha de Mostarda"
"FOLHOSAS","Couve-Flor"
"FOLHOSAS","Brócolis"
"FOLHOSAS","Brócolis Ninja"
"FOLHOSAS","Rabanete"
"FOLHOSAS","Nabo"
"FOLHOSAS","Chicória"
"RAÍZES E TUBÉRCULOS","Batata Inglesa"
"RAÍZES E TUBÉRCULOS","Batata Asterix"
"RAÍZES E TUBÉRCULOS","Batata Monalisa"
"RAÍZES E TUBÉRCULOS","Batata Bolinha"
"RAÍZES E TUBÉRCULOS","Batata Doce Rosada"
"RAÍZES E TUBÉRCULOS","Batata Doce Branca"
"RAÍZES E TUBÉRCULOS","Batata Doce Roxa"
"RAÍZES E TUBÉRCULOS","Batata Lavada"
"RAÍZES E TUBÉRCULOS","Mandioca"
"RAÍZES E TUBÉRCULOS","Aipim"
"RAÍZES E TUBÉRCULOS","Macaxeira"
"RAÍZES E TUBÉRCULOS","Inhame"
"RAÍZES E TUBÉRCULOS","Cará"
"RAÍZES E TUBÉRCULOS","Cenoura"
"RAÍZES E TUBÉRCULOS","Beterraba"
"RAÍZES E TUBÉRCULOS","Mandioquinha"
"RAÍZES E TUBÉRCULOS","Batata Baroa"
"RAÍZES E TUBÉRCULOS","Gengibre"
"RAÍZES E TUBÉRCULOS","Açafrão da Terra"
"RAÍZES E TUBÉRCULOS","Cúrcuma Fresca"
"OUTROS LEGUMES","Abobrinha Italiana"
"OUTROS LEGUMES","Abobrinha Brasileira"
"OUTROS LEGUMES","Abóbora Cabotiá"
"OUTROS LEGUMES","Abóbora Japonesa"
"OUTROS LEGUMES","Abóbora Moranga"
"OUTROS LEGUMES","Abóbora Paulista"
"OUTROS LEGUMES","Abóbora Menina"
"OUTROS LEGUMES","Chuchu"
"OUTROS LEGUMES","Berinjela"
"OUTROS LEGUMES","Pimentão Verde"
"OUTROS LEGUMES","Pimentão Vermelho"
"OUTROS LEGUMES","Pimentão Amarelo"
"OUTROS LEGUMES","Pepino Japonês"
"OUTROS LEGUMES","Pepino Caipira"
"OUTROS LEGUMES","Pepino Aodai"
"OUTROS LEGUMES","Quiabo"
"OUTROS LEGUMES","Jiló"
"OUTROS LEGUMES","Maxixe"
"OUTROS LEGUMES","Vagem"
"OUTROS LEGUMES","Ervilha Torta"
"OUTROS LEGUMES","Ervilha"
"OUTROS LEGUMES","Alho-Poró"
"OUTROS LEGUMES","Cebola Branca"
"OUTROS LEGUMES","Cebola Roxa"
"OUTROS LEGUMES","Cebola Amarela"
"OUTROS LEGUMES","Alho"
"OUTROS LEGUMES","Alho Desidratado"
"OUTROS LEGUMES","Pimenta Dedo-de-Moça"
"OUTROS LEGUMES","Pimenta Malagueta"
"OUTROS LEGUMES","Pimenta Biquinho"
"OUTROS LEGUMES","Pimenta Cambuci"
"OUTROS LEGUMES","Pimenta Jalapeño"
"OUTROS LEGUMES","Pimenta Habanero"
"OUTROS LEGUMES","Pimenta de Cheiro"
"OUTROS LEGUMES","Espiga de Milho"
"TEMPEROS FRESCOS","Salsinha"
"TEMPEROS FRESCOS","Cebolinha"
"TEMPEROS FRESCOS","Coentro"
"TEMPEROS FRESCOS","Manjericão"
"TEMPEROS FRESCOS","Hortelã"
"TEMPEROS FRESCOS","Alecrim"
"TEMPEROS FRESCOS","Orégano Fresco"
"TEMPEROS FRESCOS","Louro"
"TEMPEROS FRESCOS","Sálvia"
"TEMPEROS FRESCOS","Tomilho"
"TEMPEROS FRESCOS","Manjerona"
"TEMPEROS FRESCOS","Estragão"
"TEMPEROS FRESCOS","Capim-Santo"
"TEMPEROS FRESCOS","Hortelã-Pimenta"
"BOVINA","Picanha"
"BOVINA","Alcatra"
"BOVINA","Maminha"
"BOVINA","Filé Mignon"
"BOVINA","Contrafilé"
"BOVINA","Fraldinha"
"BOVINA","Coxão Mole"
"BOVINA","Coxão Duro"
"BOVINA","Lagarto"
"BOVINA","Patinho"
"BOVINA","Acém"
"BOVINA","Paleta"
"BOVINA","Peito"
"BOVINA","Costela"
"BOVINA","Cupim"
"BOVINA","Músculo"
"BOVINA","Carne Moída"
"BOVINA","Charque"
"BOVINA","Carne Seca"
"BOVINA","Carne de Sol"
"BOVINA","Peixinho"
"BOVINA","Pescoço"
"BOVINA","Rabo"
"BOVINA","Fígado Bovino"
"BOVINA","Língua Bovina"
"BOVINA","Bucho"
"BOVINA","Coração Bovino"
"SUÍNA","Lombo Suíno"
"SUÍNA","Pernil"
"SUÍNA","Costela Suína"
"SUÍNA","Bisteca Suína"
"SUÍNA","Panceta"
"SUÍNA","Barriga Suína"
"SUÍNA","Linguiça Calabresa"
"SUÍNA","Linguiça Toscana"
"SUÍNA","Linguiça de Pernil"
"SUÍNA","Bacon"
"SUÍNA","Toucinho"
"SUÍNA","Costelinha Suína"
"SUÍNA","Paleta Suína"
"SUÍNA","Copa Lombo"
"SUÍNA","Filezinho Suíno"
"AVES","Peito de Frango"
"AVES","Coxa de Frango"
"AVES","Sobrecoxa de Frango"
"AVES","Asa de Frango"
"AVES","Frango Inteiro"
"AVES","Filé de Frango"
"AVES","Coxinha da Asa"
"AVES","Moela"
"AVES","Fígado de Frango"
"AVES","Coração de Frango"
"AVES","Peru Inteiro"
"AVES","Peito de Peru"
"AVES","Coxa de Peru"
"PEIXES E FRUTOS DO MAR","Tilápia"
"PEIXES E FRUTOS DO MAR","Salmão"
"PEIXES E FRUTOS DO MAR","Bacalhau"
"PEIXES E FRUTOS DO MAR","Merluza"
"PEIXES E FRUTOS DO MAR","Pescada"
"PEIXES E FRUTOS DO MAR","Sardinha"
"PEIXES E FRUTOS DO MAR","Atum"
"PEIXES E FRUTOS DO MAR","Camarão"
"PEIXES E FRUTOS DO MAR","Lula"
"PEIXES E FRUTOS DO MAR","Polvo"
"PEIXES E FRUTOS DO MAR","Mexilhão"
"PEIXES E FRUTOS DO MAR","Ostras"
"PEIXES E FRUTOS DO MAR","Robalo"
"PEIXES E FRUTOS DO MAR","Dourado"
"PEIXES E FRUTOS DO MAR","Tainha"
"PEIXES E FRUTOS DO MAR","Namorado"
"PEIXES E FRUTOS DO MAR","Cação"
"PEIXES E FRUTOS DO MAR","Corvina"
"PEIXES E FRUTOS DO MAR","Linguado"
"PEIXES E FRUTOS DO MAR","Manjuba"
"PEIXES E FRUTOS DO MAR","Anchova"
"PEIXES E FRUTOS DO MAR","Lagosta"
"PEIXES E FRUTOS DO MAR","Caranguejo"
"PEIXES E FRUTOS DO MAR","Siri"
"PEIXES E FRUTOS DO MAR","Vieira"
"LEITE","Leite Integral"
"LEITE","Leite Semidesnatado"
"LEITE","Leite Desnatado"
"LEITE","Leite Zero Lactose"
"LEITE","Leite em Pó Integral"
"LEITE","Leite em Pó Desnatado"
"LEITE","Leite de Soja"
"LEITE","Leite de Amêndoas"
"LEITE","Leite de Coco"
"LEITE","Leite de Aveia"
"LEITE","Leite de Arroz"
"LEITE","Leite de Castanha"
"LEITE","Leite de Cabra"
"LEITE","Leite Condensado"
"LEITE","Creme de Leite"
"QUEIJOS","Queijo Minas Frescal"
"QUEIJOS","Queijo Minas Padrão"
"QUEIJOS","Mussarela"
"QUEIJOS","Queijo Prato"
"QUEIJOS","Queijo Coalho"
"QUEIJOS","Queijo Parmesão"
"QUEIJOS","Queijo Provolone"
"QUEIJOS","Queijo Gorgonzola"
"QUEIJOS","Queijo Brie"
"QUEIJOS","Queijo Camembert"
"QUEIJOS","Ricota"
"QUEIJOS","Cream Cheese"
"QUEIJOS","Requeijão"
"QUEIJOS","Queijo Cottage"
"QUEIJOS","Queijo Gruyère"
"QUEIJOS","Queijo Emmental"
"QUEIJOS","Queijo Cheddar"
"QUEIJOS","Queijo Gouda"
"QUEIJOS","Queijo Reino"
"QUEIJOS","Queijo Colonial"
"QUEIJOS","Queijo Canastra"
"QUEIJOS","Queijo Serra da Canastra"
"QUEIJOS","Queijo Meia Cura"
"QUEIJOS","Queijo Cabacinha"
"QUEIJOS","Queijo de Cabra"
"OUTROS LATICÍNIOS","Iogurte Natural"
"OUTROS LATICÍNIOS","Iogurte Grego"
"OUTROS LATICÍNIOS","Iogurte Desnatado"
"OUTROS LATICÍNIOS","Iogurte Integral"
"OUTROS LATICÍNIOS","Manteiga"
"OUTROS LATICÍNIOS","Margarina"
"OUTROS LATICÍNIOS","Coalhada"
"OUTROS LATICÍNIOS","Nata"
"OUTROS LATICÍNIOS","Doce de Leite"
"ÓLEOS E GORDURAS","Óleo de Soja"
"ÓLEOS E GORDURAS","Óleo de Girassol"
"ÓLEOS E GORDURAS","Óleo de Canola"
"ÓLEOS E GORDURAS","Óleo de Milho"
"ÓLEOS E GORDURAS","Azeite de Oliva Extra Virgem"
"ÓLEOS E GORDURAS","Azeite de Oliva"
"ÓLEOS E GORDURAS","Óleo de Coco"
"ÓLEOS E GORDURAS","Banha de Porco"
"ÓLEOS E GORDURAS","Óleo de Dendê"
"ÓLEOS E GORDURAS","Azeite de Dendê"
"ÓLEOS E GORDURAS","Óleo de Gergelim"
"ÓLEOS E GORDURAS","Manteiga de Cacau"
"AÇÚCARES E DOCES","Açúcar Cristal"
"AÇÚCARES E DOCES","Açúcar Refinado"
"AÇÚCARES E DOCES","Açúcar Demerara"
"AÇÚCARES E DOCES","Açúcar Mascavo"
"AÇÚCARES E DOCES","Açúcar de Coco"
"AÇÚCARES E DOCES","Açúcar Light"
"AÇÚCARES E DOCES","Mel"
"AÇÚCARES E DOCES","Melado de Cana"
"AÇÚCARES E DOCES","Rapadura"
"AÇÚCARES E DOCES","Melado"
"AÇÚCARES E DOCES","Xarope de Maple"
"AÇÚCARES E DOCES","Adoçante"
"AÇÚCARES E DOCES","Stevia"
"AÇÚCARES E DOCES","Gelatina em Pó"
"AÇÚCARES E DOCES","Chocolate em Pó"
"AÇÚCARES E DOCES","Cacau em Pó"
"AÇÚCARES E DOCES","Achocolatado em Pó"
"AÇÚCARES E DOCES","Goiabada"
"AÇÚCARES E DOCES","Marmelada"
"AÇÚCARES E DOCES","Cocada"
"AÇÚCARES E DOCES","Paçoca"
"AÇÚCARES E DOCES","Pé de Moleque"
"SECOS E ESPECIARIAS","Sal Refinado"
"SECOS E ESPECIARIAS","Sal Grosso"
"SECOS E ESPECIARIAS","Sal Marinho"
"SECOS E ESPECIARIAS","Pimenta-do-Reino"
"SECOS E ESPECIARIAS","Pimenta-do-Reino em Grão"
"SECOS E ESPECIARIAS","Cominho"
"SECOS E ESPECIARIAS","Colorau"
"SECOS E ESPECIARIAS","Urucum"
"SECOS E ESPECIARIAS","Açafrão"
"SECOS E ESPECIARIAS","Cúrcuma"
"SECOS E ESPECIARIAS","Canela em Pó"
"SECOS E ESPECIARIAS","Canela em Pau"
"SECOS E ESPECIARIAS","Cravo"
"SECOS E ESPECIARIAS","Noz-Moscada"
"SECOS E ESPECIARIAS","Orégano Seco"
"SECOS E ESPECIARIAS","Manjericão Seco"
"SECOS E ESPECIARIAS","Louro Seco"
"SECOS E ESPECIARIAS","Coentro em Pó"
"SECOS E ESPECIARIAS","Páprica Doce"
"SECOS E ESPECIARIAS","Páprica Defumada"
"SECOS E ESPECIARIAS","Páprica Picante"
"SECOS E ESPECIARIAS","Gengibre em Pó"
"SECOS E ESPECIARIAS","Alho em Pó"
"SECOS E ESPECIARIAS","Cebola em Pó"
"SECOS E ESPECIARIAS","Curry"
"SECOS E ESPECIARIAS","Chimichurri"
"SECOS E ESPECIARIAS","Pimenta Calabresa"
"SECOS E ESPECIARIAS","Pimenta Caiena"
"SECOS E ESPECIARIAS","Ervas Finas"
"SECOS E ESPECIARIAS","Tempero Baiano"
"SECOS E ESPECIARIAS","Tempero Completo"
"MOLHOS E CONDIMENTOS","Molho de Tomate"
"MOLHOS E CONDIMENTOS","Extrato de Tomate"
"MOLHOS E CONDIMENTOS","Polpa de Tomate"
"MOLHOS E CONDIMENTOS","Ketchup"
"MOLHOS E CONDIMENTOS","Mostarda"
"MOLHOS E CONDIMENTOS","Mostarda Dijon"
"MOLHOS E CONDIMENTOS","Maionese"
"MOLHOS E CONDIMENTOS","Shoyu"
"MOLHOS E CONDIMENTOS","Molho Inglês"
"MOLHOS E CONDIMENTOS","Molho de Pimenta"
"MOLHOS E CONDIMENTOS","Molho Tártaro"
"MOLHOS E CONDIMENTOS","Molho Barbecue"
"MOLHOS E CONDIMENTOS","Vinagre de Álcool"
"MOLHOS E CONDIMENTOS","Vinagre de Maçã"
"MOLHOS E CONDIMENTOS","Vinagre Balsâmico"
"MOLHOS E CONDIMENTOS","Vinagre de Vinho"
"MOLHOS E CONDIMENTOS","Vinagre de Arroz"
"MOLHOS E CONDIMENTOS","Azeite Temperado"
"MOLHOS E CONDIMENTOS","Molho Pesto"
"MOLHOS E CONDIMENTOS","Catchup Picante"
"BISCOITOS","Biscoito Cream Cracker"
"BISCOITOS","Biscoito Água e Sal"
"BISCOITOS","Biscoito Maisena"
"BISCOITOS","Biscoito Recheado"
"BISCOITOS","Biscoito de Polvilho"
"BISCOITOS","Biscoito de Nata"
"BISCOITOS","Biscoito Champanhe"
"BISCOITOS","Biscoito Waffler"
"BISCOITOS","Biscoito Maria"
"BISCOITOS","Biscoito de Leite"
"BISCOITOS","Biscoito Integral"
"BISCOITOS","Biscoito de Aveia"
"BISCOITOS","Biscoito Salgado"
"BISCOITOS","Biscoito Doce"
"BISCOITOS","Cookie"
"BISCOITOS","Rosquinha"
"BISCOITOS","Sequilho"
"SNACKS E PETISCOS","Batata Chips"
"SNACKS E PETISCOS","Batata Palha"
"SNACKS E PETISCOS","Salgadinho de Milho"
"SNACKS E PETISCOS","Amendoim Salgado"
"SNACKS E PETISCOS","Amendoim Doce"
"SNACKS E PETISCOS","Pipoca de Micro-ondas"
"SNACKS E PETISCOS","Pipoca em Grão"
"SNACKS E PETISCOS","Torrada Salgada"
"SNACKS E PETISCOS","Torrada Doce"
"SNACKS E PETISCOS","Crackers"
"SNACKS E PETISCOS","Pretzel"
"SNACKS E PETISCOS","Nachos"
"SNACKS E PETISCOS","Tortilha Chips"
"SNACKS E PETISCOS","Castanha de Caju Salgada"
"SNACKS E PETISCOS","Mix de Castanhas"
"SNACKS E PETISCOS","Chips de Batata Doce"
"SNACKS E PETISCOS","Chips de Banana"
"SNACKS E PETISCOS","Torre de Pipoca"
"SNACKS E PETISCOS","Pipoquinha Doce"
"NÃO ALCOÓLICAS","Água Mineral"
"NÃO ALCOÓLICAS","Água com Gás"
"NÃO ALCOÓLICAS","Água Tônica"
"NÃO ALCOÓLICAS","Refrigerante Cola"
"NÃO ALCOÓLICAS","Refrigerante Guaraná"
"NÃO ALCOÓLICAS","Refrigerante Laranja"
"NÃO ALCOÓLICAS","Refrigerante Limão"
"NÃO ALCOÓLICAS","Refrigerante Uva"
"NÃO ALCOÓLICAS","Suco de Laranja"
"NÃO ALCOÓLICAS","Suco de Uva"
"NÃO ALCOÓLICAS","Suco de Maracujá"
"NÃO ALCOÓLICAS","Suco de Abacaxi"
"NÃO ALCOÓLICAS","Suco de Manga"
"NÃO ALCOÓLICAS","Suco de Caju"
"NÃO ALCOÓLICAS","Suco de Goiaba"
"NÃO ALCOÓLICAS","Suco de Acerola"
"NÃO ALCOÓLICAS","Suco de Limão"
"NÃO ALCOÓLICAS","Suco Detox"
"NÃO ALCOÓLICAS","Suco Integral"
"NÃO ALCOÓLICAS","Suco de Soja"
"NÃO ALCOÓLICAS","Suco de Néctar"
"NÃO ALCOÓLICAS","Café Torrado e Moído"
"NÃO ALCOÓLICAS","Café em Grão"
"NÃO ALCOÓLICAS","Café Solúvel"
"NÃO ALCOÓLICAS","Chá Mate"
"NÃO ALCOÓLICAS","Chá Preto"
"NÃO ALCOÓLICAS","Chá Verde"
"NÃO ALCOÓLICAS","Chá de Camomila"
"NÃO ALCOÓLICAS","Chá de Hortelã"
"NÃO ALCOÓLICAS","Chá de Boldo"
"NÃO ALCOÓLICAS","Chá de Erva-Doce"
"NÃO ALCOÓLICAS","Chá de Gengibre"
"NÃO ALCOÓLICAS","Chá"
"NÃO ALCOÓLICAS","Achocolatado"
"NÃO ALCOÓLICAS","Isotônico"
"NÃO ALCOÓLICAS","Energético"
"NÃO ALCOÓLICAS","Água de Coco"
"NÃO ALCOÓLICAS","Suco Verde"
"ALCOÓLICAS","Cerveja Pilsen"
"ALCOÓLICAS","Cerveja Lager"
"ALCOÓLICAS","Cerveja IPA"
"ALCOÓLICAS","Cerveja Weiss"
"ALCOÓLICAS","Cerveja Stout"
"ALCOÓLICAS","Cerveja Preta"
"ALCOÓLICAS","Cerveja Artesanal"
"ALCOÓLICAS","Vinho Tinto"
"ALCOÓLICAS","Vinho Branco"
"ALCOÓLICAS","Vinho Rosé"
"ALCOÓLICAS","Vinho Suave"
"ALCOÓLICAS","Vinho Seco"
"ALCOÓLICAS","Vinho Bordô"
"ALCOÓLICAS","Espumante"
"ALCOÓLICAS","Champanhe"
"ALCOÓLICAS","Cachaça"
"ALCOÓLICAS","Pinga"
"ALCOÓLICAS","Whisky"
"ALCOÓLICAS","Vodka"
"ALCOÓLICAS","Gin"
"ALCOÓLICAS","Rum"
"ALCOÓLICAS","Tequila"
"ALCOÓLICAS","Conhaque"
"ALCOÓLICAS","Licor"
"ALCOÓLICAS","Vermute"
"ALCOÓLICAS","Aperol"
"ALCOÓLICAS","Sidra"
"ALCOÓLICAS","Saquê"
"ALCOÓLICAS","Cerveja sem Álcool"
"OUTROS E CONSERVAS","Azeitona Verde"
"OUTROS E CONSERVAS","Azeitona Preta"
"OUTROS E CONSERVAS","Milho em Conserva"
